person_id,wiki_id,pages,ref,vol
i-F2ZGUJuWW6iUhgwMRj9q9y,Q5615490,216,http://www.wikidata.org/entity/Q110346241,4
i-VNhc7kVJhkCWCAK5XCdbTH,Q5616503,57,http://www.wikidata.org/entity/Q110346241,2
i-UysbHxCMeJV8ddBUKdgBwY,Q5618642,304,http://www.wikidata.org/entity/Q111443541,1
i-VnDXyA557kw3R1BEywHbjw,Q5618683,217,http://www.wikidata.org/entity/Q110346241,4
i-HkFSU3qgD4WDnG8LWPTtL1,Q5618783,114,http://www.wikidata.org/entity/Q110346241,3
i-PJBeSTQ9w73bwwYatiTwYp,Q5618788,114,http://www.wikidata.org/entity/Q110346241,3
i-TUcdPVCwA1wo5kK1FA9kqs,Q5621587,58,http://www.wikidata.org/entity/Q111443541,2
i-VC8M4GnTVfdRYSmtWPgcTd,Q5623312,213,http://www.wikidata.org/entity/Q110346241,5
i-6svbzCWXT4opXE5mCCPvkC,Q5627420,347,http://www.wikidata.org/entity/Q110346241,5
i-JbpZD6UR473GqjQRkeachX,Q5627432,478,http://www.wikidata.org/entity/Q110346241,4
i-81poFV7Wk8CN5TX1Wqm1gn,Q5628126,115,http://www.wikidata.org/entity/Q110346241,3
i-Pd4h8w97V3gTekGxSvebsQ,Q5628172,376,http://www.wikidata.org/entity/Q111443541,2
i-NaFhWaiMc52HPNdwF2XNnq,Q5629773,147,http://www.wikidata.org/entity/Q110346241,2
i-8xx95YKLjMC83YPJobGgTT,Q5629777,147,http://www.wikidata.org/entity/Q110346241,2
i-XTQdTTGwiQ9iKGjbQTfGYs,Q5629781,49,http://www.wikidata.org/entity/Q110346241,3
i-65rmwEXkkhA1kxSrD4oMUw,Q5630560,396,http://www.wikidata.org/entity/Q110346241,4
i-AmKppgrWPnLHER7xpP5Nar,Q5630690,79,http://www.wikidata.org/entity/Q110346241,4
i-SfLBYFycLvbfGx9i7chta5,Q5700991,74,http://www.wikidata.org/entity/Q110346241,4
i-2P8oL3AnBaUaam6G5cEkGw,Q5707382,79,http://www.wikidata.org/entity/Q110346241,4
i-PJvtkp2sUpKcdntrpjXwkE,Q5707498,148,http://www.wikidata.org/entity/Q110346241,2
i-EwMNfGWXSptE1i89f5to9e,Q5709446,78,http://www.wikidata.org/entity/Q110346241,1
i-H5w8iePXvnS6ELkjZJEWWQ,Q5711044,220,http://www.wikidata.org/entity/Q110346241,4
i-NnhYYoKk46XpcaL5skjzn9,Q5711531,118,http://www.wikidata.org/entity/Q110346241,3
i-7LiCmByQJSTk3ESw7CzerA,Q5715109,57,http://www.wikidata.org/entity/Q110346241,5
i-CwngYEDknGjbWVod4ccLBb,Q5715212,150,http://www.wikidata.org/entity/Q110346241,2
i-EZCiCL8zUah6zwB7Fi8kr3,Q5715226,481,http://www.wikidata.org/entity/Q110346241,4
i-TDcqGyzXni7Trv4F5XQtYf,Q5716309,398,http://www.wikidata.org/entity/Q110346241,4
i-W4CJfxFbP1nx9SYGRsnVHQ,Q5717143,296,http://www.wikidata.org/entity/Q110346241,5
i-HMKGf5h5zmx86ZzMrqUVof,Q5718504,367,http://www.wikidata.org/entity/Q110346241,1
i-LV9xnaSRGaErSW6nmQsQtX,Q5719647,82,http://www.wikidata.org/entity/Q110346241,4
i-BRuzd8mx5ZrcGFkpRPTNji,Q5719666,316,http://www.wikidata.org/entity/Q110346241,4
i-MujG24Zxtbj8WjsRLpNCE2,Q5721343,224,http://www.wikidata.org/entity/Q110346241,4
i-SGnYRjoHv9HP8rcbBo83EG,Q5721383,482,http://www.wikidata.org/entity/Q110346241,4
i-5VmM3A6gSWvKTiRoizdFQ1,Q5722752,272,http://www.wikidata.org/entity/Q110346241,2
i-69km2pwLBJWrtyvRcuiS3b,Q5723194,219,http://www.wikidata.org/entity/Q110346241,5
i-VH9wUBG7bNFMcYkdAPTofa,Q5724137,400,http://www.wikidata.org/entity/Q110346241,4
i-SuRNGcRwvJ2XwdRi9n3doA,Q5724289,401,http://www.wikidata.org/entity/Q110346241,4
i-DPSKuUhxasojZBK6nSTaFW,Q5724508,66,http://www.wikidata.org/entity/Q111443541,2
i-8hWjRvrqaLmhnrLHobBLNN,Q5724602,211,http://www.wikidata.org/entity/Q110346241,3
i-71vobmtRM8VayAVJKWNYrF,Q5726510,152,http://www.wikidata.org/entity/Q110346241,2
i-R4n8T37WGG9UtPzmSYDQ4W,Q5731455,84,http://www.wikidata.org/entity/Q110346241,1
i-Jrqp3xhubpckqh6NNnYVm4,Q5732950,273,http://www.wikidata.org/entity/Q110346241,2
